BW    ,SF,PS ,SNR,BER      ,RSSI        ,ToA      ,BER,RSSI,ToA,C0  ,C1  ,C2  ,L
250000,7 ,10 ,-30,0.0428572,-144.0206002,0.0123902,61 ,28  ,1  ,0.00,0.00,1.00,2
250000,7 ,10 ,-20,0.0442862,-134.0206002,0.0123902,63 ,49  ,1  ,0.00,0.00,1.00,2
250000,7 ,10 ,-10,0.0000002,-124.0206002,0.0123902,0  ,71  ,1  ,0.50,0.50,0.00,1
250000,7 ,10 ,0  ,0.0000002,-114.0206002,0.0123902,0  ,93  ,1  ,0.50,0.50,0.00,1
250000,7 ,30 ,-40,0.0480952,-154.0206002,0.0144382,68 ,6   ,1  ,0.00,0.00,1.00,2
250000,7 ,30 ,-30,0.0504762,-144.0206002,0.0144382,72 ,28  ,1  ,0.00,0.00,1.00,2
250000,7 ,30 ,-20,0.0466672,-134.0206002,0.0144382,66 ,49  ,1  ,0.00,0.00,1.00,2
250000,7 ,30 ,-10,0.0033332,-124.0206002,0.0144382,4  ,71  ,1  ,0.50,0.50,0.00,1
250000,7 ,30 ,0  ,0.0000002,-114.0206002,0.0144382,0  ,93  ,1  ,0.50,0.50,0.00,1
250000,7 ,50 ,-40,0.0482862,-154.0206002,0.0164862,68 ,6   ,1  ,0.00,0.00,1.00,2
250000,7 ,50 ,-30,0.0494292,-144.0206002,0.0164862,70 ,28  ,1  ,0.00,0.00,1.00,2
250000,7 ,50 ,-20,0.0488572,-134.0206002,0.0164862,69 ,49  ,1  ,0.00,0.00,1.00,2
250000,7 ,50 ,-10,0.0025712,-124.0206002,0.0164862,3  ,71  ,1  ,0.50,0.50,0.00,1
250000,7 ,50 ,0  ,0.0000002,-114.0206002,0.0164862,0  ,93  ,1  ,0.50,0.50,0.00,1
250000,7 ,70 ,-40,0.0502042,-154.0206002,0.0185342,71 ,6   ,1  ,0.00,0.00,1.00,2
250000,7 ,70 ,-30,0.0508162,-144.0206002,0.0185342,72 ,28  ,1  ,0.00,0.00,1.00,2
250000,7 ,70 ,-20,0.0448982,-134.0206002,0.0185342,64 ,49  ,1  ,0.00,0.00,1.00,2
250000,7 ,70 ,-10,0.0010202,-124.0206002,0.0185342,1  ,71  ,1  ,0.50,0.50,0.00,1
250000,7 ,70 ,0  ,0.0000002,-114.0206002,0.0185342,0  ,93  ,1  ,0.50,0.50,0.00,1
250000,7 ,90 ,-40,0.0547622,-154.0206002,0.0205822,78 ,6   ,1  ,0.00,0.00,1.00,2
250000,7 ,90 ,-30,0.0515872,-144.0206002,0.0205822,73 ,28  ,1  ,0.00,0.00,1.00,2
250000,7 ,90 ,-20,0.0477782,-134.0206002,0.0205822,68 ,49  ,1  ,0.00,0.00,1.00,2
250000,7 ,90 ,-10,0.0030162,-124.0206002,0.0205822,4  ,71  ,1  ,0.50,0.50,0.00,1
250000,7 ,90 ,0  ,0.0000002,-114.0206002,0.0205822,0  ,93  ,1  ,0.50,0.50,0.00,1
