BER     ,RSSI        ,ToA
0.463332,-141.0103002,0.049562
0.073332,-131.0103002,0.049562
0.000002,-121.0103002,0.049562
0.000002,-111.0103002,0.049562
0.496002,-151.0103002,0.057754
0.492002,-141.0103002,0.057754
0.136002,-131.0103002,0.057754
0.000002,-121.0103002,0.057754
0.000002,-111.0103002,0.057754
0.538572,-151.0103002,0.057754
0.491432,-141.0103002,0.057754
0.102862,-131.0103002,0.057754
0.000002,-121.0103002,0.057754
0.000002,-111.0103002,0.057754
0.497782,-151.0103002,0.065946
0.501112,-141.0103002,0.065946
0.135562,-131.0103002,0.065946
0.000002,-121.0103002,0.065946
0.000002,-111.0103002,0.065946
0.513642,-151.0103002,0.074138
0.484552,-141.0103002,0.074138
0.105452,-131.0103002,0.074138
0.000002,-121.0103002,0.074138
0.000002,-111.0103002,0.074138
0.481822,-151.0103002,0.082739
0.490912,-141.0103002,0.082739
0.000002,-131.0103002,0.082739
0.000002,-121.0103002,0.082739
0.000002,-111.0103002,0.082739
0.530302,-151.0103002,0.099123
0.442422,-141.0103002,0.099123
0.000002,-131.0103002,0.099123
0.000002,-121.0103002,0.099123
0.000002,-111.0103002,0.099123
0.509092,-151.0103002,0.099123
0.423642,-141.0103002,0.099123
0.000002,-131.0103002,0.099123
0.000002,-121.0103002,0.099123
0.000002,-111.0103002,0.099123
0.503902,-151.0103002,0.115507
0.477922,-141.0103002,0.115507
0.016882,-131.0103002,0.115507
0.000002,-121.0103002,0.115507
0.000002,-111.0103002,0.115507
0.496972,-151.0103002,0.131891
0.474752,-141.0103002,0.131891
0.012122,-131.0103002,0.131891
0.000002,-121.0103002,0.131891
0.000002,-111.0103002,0.131891
0.511572,-151.0103002,0.131891
0.454552,-141.0103002,0.131891
0.020662,-131.0103002,0.131891
0.000002,-121.0103002,0.131891
0.000002,-111.0103002,0.131891
0.475002,-151.0103002,0.165478
0.291672,-141.0103002,0.165478
0.000002,-131.0103002,0.165478
0.000002,-121.0103002,0.165478
0.000002,-111.0103002,0.165478
0.452782,-151.0103002,0.198246
0.469442,-141.0103002,0.198246
0.000002,-131.0103002,0.198246
0.000002,-121.0103002,0.198246
0.000002,-111.0103002,0.198246
0.521672,-151.0103002,0.198246
0.393332,-141.0103002,0.198246
0.121672,-131.0103002,0.198246
0.000002,-121.0103002,0.198246
0.000002,-111.0103002,0.198246
0.503572,-151.0103002,0.231014
0.429762,-141.0103002,0.231014
0.000002,-131.0103002,0.231014
0.000002,-121.0103002,0.231014
0.000002,-111.0103002,0.231014
0.516672,-151.0103002,0.231014
0.339812,-141.0103002,0.231014
0.126852,-131.0103002,0.231014
0.000002,-121.0103002,0.231014
0.000002,-111.0103002,0.231014
0.483332,-151.0103002,0.263782
0.413642,-141.0103002,0.263782
0.014392,-131.0103002,0.263782
0.029552,-121.0103002,0.263782
0.000002,-111.0103002,0.263782
