BW      SF  PS   SNR  BER        RSSI          ToA  L
250000  12  90   -40  0.0533332  -154.0206002  0.4620292  2
250000  12  90   -30  0.0407412  -144.0206002  0.4620292  2
250000  12  90   -20  0.0000002  -134.0206002  0.4620292  0
250000  12  90   -10  0.0000002  -124.0206002  0.4620292  1
250000  12  90   0    0.0000002  -114.0206002  0.4620292  1
250000  12  110  -40  0.0511362  -154.0206002  0.5275652  2
250000  12  110  -30  0.0421212  -144.0206002  0.5275652  2
250000  12  110  -20  0.0090152  -134.0206002  0.5275652  0
250000  12  110  -10  0.0000002  -124.0206002  0.5275652  1
250000  12  110  0    0.0000002  -114.0206002  0.5275652  1
500000  7   10   -40  0.0600002  -151.0103002  0.0061952  2
500000  7   10   -30  0.0414292  -141.0103002  0.0061952  2
500000  7   10   -20  0.0428572  -131.0103002  0.0061952  2
500000  7   10   -10  0.0000002  -121.0103002  0.0061952  1
500000  7   10   0    0.0000002  -111.0103002  0.0061952  1
500000  7   30   -40  0.0528572  -151.0103002  0.0072192  2
500000  7   30   -30  0.0571432  -141.0103002  0.0072192  2
500000  7   30   -20  0.0519052  -131.0103002  0.0072192  2
500000  7   30   -10  0.0023812  -121.0103002  0.0072192  1
500000  7   30   0    0.0000002  -111.0103002  0.0072192  1
500000  7   50   -40  0.0462862  -151.0103002  0.0082432  2
500000  7   50   -30  0.0517142  -141.0103002  0.0082432  2
500000  7   50   -20  0.0502862  -131.0103002  0.0082432  2
500000  7   50   -10  0.0025712  -121.0103002  0.0082432  1
500000  7   50   0    0.0000002  -111.0103002  0.0082432  1
500000  7   70   -40  0.0459182  -151.0103002  0.0092672  2
500000  7   70   -30  0.0475512  -141.0103002  0.0092672  2
500000  7   70   -20  0.0463272  -131.0103002  0.0092672  2
500000  7   70   -10  0.0018372  -121.0103002  0.0092672  1
500000  7   70   0    0.0000002  -111.0103002  0.0092672  1
500000  7   90   -40  0.0511112  -151.0103002  0.0102912  2
500000  7   90   -30  0.0538102  -141.0103002  0.0102912  2
500000  7   90   -20  0.0431752  -131.0103002  0.0102912  2
500000  7   90   -10  0.0019052  -121.0103002  0.0102912  1
500000  7   90   0    0.0000002  -111.0103002  0.0102912  1
500000  7   110  -40  0.0489612  -151.0103002  0.0113152  2
500000  7   110  -30  0.0480522  -141.0103002  0.0113152  2
500000  7   110  -20  0.0480522  -131.0103002  0.0113152  2
500000  7   110  -10  0.0016882  -121.0103002  0.0113152  1
500000  7   110  0    0.0000002  -111.0103002  0.0113152  1
500000  8   10   -40  0.0487502  -151.0103002  0.0123902  2
500000  8   10   -30  0.0512502  -141.0103002  0.0123902  2
500000  8   10   -20  0.0512502  -131.0103002  0.0123902  2
500000  8   10   -10  0.0000002  -121.0103002  0.0123902  1
500000  8   10   0    0.0000002  -111.0103002  0.0123902  1
500000  8   30   -40  0.0554172  -151.0103002  0.0144382  2
500000  8   30   -30  0.0558332  -141.0103002  0.0144382  2
500000  8   30   -20  0.0391672  -131.0103002  0.0144382  2
500000  8   30   -10  0.0000002  -121.0103002  0.0144382  1
500000  8   30   0    0.0000002  -111.0103002  0.0144382  1
500000  8   50   -40  0.0532502  -151.0103002  0.0144382  2
500000  8   50   -30  0.0460002  -141.0103002  0.0144382  2
500000  8   50   -20  0.0457502  -131.0103002  0.0144382  2
500000  8   50   -10  0.0000002  -121.0103002  0.0144382  1
500000  8   50   0    0.0000002  -111.0103002  0.0144382  1
500000  8   70   -40  0.0489292  -151.0103002  0.0164862  2
500000  8   70   -30  0.0492862  -141.0103002  0.0164862  2
500000  8   70   -20  0.0416072  -131.0103002  0.0164862  2
500000  8   70   -10  0.0000002  -121.0103002  0.0164862  1
500000  8   70   0    0.0000002  -111.0103002  0.0164862  1
500000  8   90   -40  0.0509722  -151.0103002  0.0185342  2
500000  8   90   -30  0.0516672  -141.0103002  0.0185342  2
500000  8   90   -20  0.0437502  -131.0103002  0.0185342  2
500000  8   90   -10  0.0000002  -121.0103002  0.0185342  1
500000  8   90   0    0.0000002  -111.0103002  0.0185342  1
500000  8   110  -40  0.0500002  -151.0103002  0.0205822  2
500000  8   110  -30  0.0518182  -141.0103002  0.0205822  2
500000  8   110  -20  0.0426142  -131.0103002  0.0205822  2
500000  8   110  -10  0.0000002  -121.0103002  0.0205822  1
500000  8   110  0    0.0000002  -111.0103002  0.0205822  1
500000  9   10   -40  0.0577782  -151.0103002  0.0247812  2
500000  9   10   -30  0.0522222  -141.0103002  0.0247812  2
500000  9   10   -20  0.0311112  -131.0103002  0.0247812  2
500000  9   10   -10  0.0000002  -121.0103002  0.0247812  1
500000  9   10   0    0.0000002  -111.0103002  0.0247812  1
500000  9   30   -40  0.0470372  -151.0103002  0.0247812  2
500000  9   30   -30  0.0500002  -141.0103002  0.0247812  2
500000  9   30   -20  0.0240742  -131.0103002  0.0247812  1
500000  9   30   -10  0.0000002  -121.0103002  0.0247812  1
500000  9   30   0    0.0000002  -111.0103002  0.0247812  1
500000  9   50   -40  0.0477782  -151.0103002  0.0288772  2
500000  9   50   -30  0.0484442  -141.0103002  0.0288772  2
500000  9   50   -20  0.0331112  -131.0103002  0.0288772  2
500000  9   50   -10  0.0000002  -121.0103002  0.0288772  1
500000  9   50   0    0.0000002  -111.0103002  0.0288772  1
500000  9   70   -40  0.0530162  -151.0103002  0.0329732  2
500000  9   70   -30  0.0479372  -141.0103002  0.0329732  2
500000  9   70   -20  0.0312702  -131.0103002  0.0329732  2
500000  9   70   -10  0.0000002  -121.0103002  0.0329732  1
500000  9   70   0    0.0000002  -111.0103002  0.0329732  1
500000  9   90   -40  0.0493832  -151.0103002  0.0329732  2
500000  9   90   -30  0.0477782  -141.0103002  0.0329732  2
500000  9   90   -20  0.0311112  -131.0103002  0.0329732  2
500000  9   90   -10  0.0000002  -121.0103002  0.0329732  1
500000  9   90   0    0.0000002  -111.0103002  0.0329732  1
500000  9   110  -40  0.0482832  -151.0103002  0.0370692  2
500000  9   110  -30  0.0492932  -141.0103002  0.0370692  2
500000  9   110  -20  0.0370712  -131.0103002  0.0370692  2
500000  9   110  -10  0.0000002  -121.0103002  0.0370692  1
500000  9   110  0    0.0000002  -111.0103002  0.0370692  1
500000  10  10   -40  0.0510002  -151.0103002  0.0413702  2
