BW, SF, SNR, PS, BER
15600,9,-10,180,0.0000004
15600,9,-10,270,0.0000004
15600,9,-10,360,0.0000004
15600,9,-10,450,0.0000004
15600,9,-10,540,0.0000004
15600,9,-10,630,0.0000004
15600,9,-10,720,0.0000004
15600,9,-10,810,0.0000004
15600,9,-10,900,0.0000004
15600,9,0,90,0.0000004
15600,9,0,180,0.0000004
15600,9,0,270,0.0000004
15600,9,0,360,0.0000004
15600,9,0,450,0.0000004
15600,9,0,540,0.0000004
15600,9,0,630,0.0000004
15600,9,0,720,0.0000004
15600,9,0,810,0.0000004
15600,9,0,900,0.0000004
15600,10,-40,100,0.0460004
15600,10,-40,200,0.0550004
15600,10,-40,300,0.0486674
15600,10,-40,400,0.0500004
15600,10,-40,500,0.0520004
15600,10,-40,600,0.0506674
15600,10,-40,700,0.0510004
15600,10,-40,800,0.0490004
15600,10,-40,900,0.0520004
15600,10,-40,1000,0.0498004
15600,10,-30,100,0.0470004
15600,10,-30,200,0.0520004
15600,10,-30,300,0.0453334
15600,10,-30,400,0.0465004
15600,10,-30,500,0.0498004
15600,10,-30,600,0.0498334
15600,10,-30,700,0.0508574
15600,10,-30,800,0.0515004
15600,10,-30,900,0.0465564
15600,10,-30,1000,0.0502004
15600,10,-20,100,0.0030004
15600,10,-20,200,0.0150004
15600,10,-20,300,0.0143334
15600,10,-20,400,0.0077504
15600,10,-20,500,0.0124004
15600,10,-20,600,0.0155004
15600,10,-20,700,0.0135714
15600,10,-20,800,0.0045004
15600,10,-20,900,0.0134444
15600,10,-20,1000,0.0067004
15600,10,-10,100,0.0000004
15600,10,-10,200,0.0000004
15600,10,-10,300,0.0000004
15600,10,-10,400,0.0000004
15600,10,-10,500,0.0000004
15600,10,-10,600,0.0000004
15600,10,-10,700,0.0000004
15600,10,-10,800,0.0000004
15600,10,-10,900,0.0000004
15600,10,-10,1000,0.0000004
15600,10,0,100,0.0000004
15600,10,0,200,0.0000004
15600,10,0,300,0.0000004
15600,10,0,400,0.0000004
15600,10,0,500,0.0000004
15600,10,0,600,0.0000004
15600,10,0,700,0.0000004
15600,10,0,800,0.0000004
15600,10,0,900,0.0000004
15600,10,0,1000,0.0000004
15600,11,-40,110,0.0481824
15600,11,-40,220,0.0495454
15600,11,-40,330,0.0442424
15600,11,-40,440,0.0518184
15600,11,-40,550,0.0520004
15600,11,-40,660,0.0480304
15600,11,-40,770,0.0485714
15600,11,-40,880,0.0518184
15600,11,-40,990,0.0467684
15600,11,-40,1100,0.0524554
15600,11,-30,110,0.0490914
15600,11,-30,220,0.0422734
15600,11,-30,330,0.0454554
15600,11,-30,440,0.0543184
15600,11,-30,550,0.0440004
15600,11,-30,660,0.0466674
15600,11,-30,770,0.0435064
15600,11,-30,880,0.0507954
15600,11,-30,990,0.0482834
15600,11,-30,1100,0.0453644
15600,11,-20,110,0.0000004
15600,11,-20,220,0.0000004
15600,11,-20,330,0.0000004
15600,11,-20,440,0.0000004
15600,11,-20,550,0.0000004
15600,11,-20,660,0.0010614
15600,11,-20,770,0.0000004
15600,11,-20,880,0.0000004
15600,11,-20,990,0.0011114
15600,11,-20,1100,0.0006364
15600,11,-10,110,0.0000004
15600,11,-10,220,0.0000004
15600,11,-10,330,0.0000004
15600,11,-10,440,0.0000004
15600,11,-10,550,0.0000004
15600,11,-10,660,0.0000004
15600,11,-10,770,0.0000004
15600,11,-10,880,0.0000004
15600,11,-10,990,0.0000004
15600,11,-10,1100,0.0000004
15600,11,0,110,0.0000004
15600,11,0,220,0.0000004
15600,11,0,330,0.0000004
15600,11,0,440,0.0000004
15600,11,0,550,0.0000004
15600,11,0,660,0.0000004
15600,11,0,770,0.0000004
15600,11,0,880,0.0000004
15600,11,0,990,0.0000004
15600,11,0,1100,0.0000004
15600,12,-40,120,0.0483334
15600,12,-40,240,0.0475004
15600,12,-40,360,0.0508334
15600,12,-40,480,0.0487504
15600,12,-40,600,0.0511674
15600,12,-40,720,0.0504174
15600,12,-40,840,0.0483334
15600,12,-40,960,0.0473964
15600,12,-40,1080,0.0464814
15600,12,-40,1200,0.0495834
15600,12,-30,120,0.0433334
15600,12,-30,240,0.0450004
15600,12,-30,360,0.0469444
15600,12,-30,480,0.0425004
15600,12,-30,600,0.0445004
15600,12,-30,720,0.0458334
15600,12,-30,840,0.0436904
15600,12,-30,960,0.0393754
15600,12,-30,1080,0.0427784
15600,12,-30,1200,0.0426674
15600,12,-20,120,0.0000004
15600,12,-20,240,0.0000004
15600,12,-20,360,0.0000004
15600,12,-20,480,0.0000004
15600,12,-20,600,0.0000004
15600,12,-20,720,0.0000004
15600,12,-20,840,0.0000004
15600,12,-20,960,0.0000004
15600,12,-20,1080,0.0000004
15600,12,-20,1200,0.0000004
15600,12,-10,120,0.0000004
15600,12,-10,240,0.0000004
15600,12,-10,360,0.0000004
15600,12,-10,480,0.0000004
15600,12,-10,600,0.0000004
15600,12,-10,720,0.0000004
15600,12,-10,840,0.0000004
15600,12,-10,960,0.0000004
15600,12,-10,1080,0.0000004
15600,12,-10,1200,0.0000004
15600,12,0,120,0.0000004
15600,12,0,240,0.0000004
15600,12,0,360,0.0000004
15600,12,0,480,0.0000004
15600,12,0,600,0.0000004
15600,12,0,720,0.0000004
15600,12,0,840,0.0000004
15600,12,0,960,0.0000004
15600,12,0,1080,0.0000004
15600,12,0,1200,0.0000004
20800,7,-40,70,0.0485714
20800,7,-40,140,0.0421434
20800,7,-40,210,0.0504764
20800,7,-40,280,0.0514294
20800,7,-40,350,0.0494294
20800,7,-40,420,0.0519054
20800,7,-40,490,0.0514294
20800,7,-40,560,0.0508934
20800,7,-40,630,0.0484134
20800,7,-40,700,0.0487144
20800,7,-30,70,0.0414294
20800,7,-30,140,0.0485714
20800,7,-30,210,0.0480954
20800,7,-30,280,0.0521434
20800,7,-30,350,0.0462864
20800,7,-30,420,0.0521434
20800,7,-30,490,0.0504084
20800,7,-30,560,0.0508934
20800,7,-30,630,0.0485714
20800,7,-30,700,0.0510004
20800,7,-20,70,0.0385714
20800,7,-20,140,0.0528574
20800,7,-20,210,0.0419054
20800,7,-20,280,0.0407144
20800,7,-20,350,0.0460004
20800,7,-20,420,0.0495244
