"norm","exp","weibull","lnorm","gamma","logis","cauchy","gumbel","binom","triang","empirical"
1,1,1,0.9988,1,1,0.9849,1,1,1,0.7882
1,1,1,0.9988,1,1,0.9849,1,1,1,0.7882
1,1,1,0.9993,1,1,0.9867,1,1,1,0.825
1,1,1,0.9993,1,1,0.9867,1,1,1,0.825
1,1,1,0.9993,1,1,0.9867,1,1,1,0.825
1,1,1,0.9993,1,1,0.9867,1,1,1,0.825
1,1,1,0.9993,1,1,0.9867,1,1,1,0.825
1,1,1,0.9993,1,1,0.9867,1,1,1,0.825
1,1,1,0.9993,1,1,0.9867,1,1,1,0.825
1,1,1,0.9993,1,1,0.9867,1,1,1,0.825
1,1,1,0.9993,1,1,0.9867,1,1,1,0.825
1,1,1,0.9993,1,1,0.9867,1,1,1,0.825
1,1,1,0.9997,1,1,0.9897,1,1,1,0.8527
1,1,1,0.9997,1,1,0.9897,1,1,1,0.8527
1,1,1,0.9997,1,1,0.9897,1,1,1,0.8527
1,1,1,0.9997,1,1,0.9897,1,1,1,0.8527
1,1,1,0.9997,1,1,0.9897,1,1,1,0.8527
1,1,1,0.9998,1,1,0.9914,1,1,1,0.8895
1,1,1,0.9998,1,1,0.9914,1,1,1,0.8895
1,1,1,0.9998,1,1,0.9914,1,1,1,0.8895
1,1,1,0.9998,1,1,0.9914,1,1,1,0.8895
1,1,1,0.9998,1,1,0.9914,1,1,1,0.8895
1,1,1,0.9998,1,1,0.9914,1,1,1,0.8895
1,1,1,0.9998,1,1,0.9914,1,1,1,0.8895
1,1,1,0.9998,1,1,0.9914,1,1,1,0.8895
1,1,1,0.9998,1,1,0.9914,1,1,1,0.8895
1,1,1,0.9998,1,1,0.9914,1,1,1,0.8895
1,1,1,0.9999,1,1,0.9926,1,1,1,0.9171
1,1,1,0.9999,1,1,0.9926,1,1,1,0.9171
1,1,1,0.9999,1,1,0.9926,1,1,1,0.9171
1,1,1,0.9999,1,1,0.9926,1,1,1,0.9171
1,1,1,0.9999,1,1,0.9926,1,1,1,0.9171
1,1,1,0.9999,1,1,0.9926,1,1,1,0.9171
1,1,1,0.9999,1,1,0.9926,1,1,1,0.9171
1,1,1,0.9999,1,1,0.9926,1,1,1,0.9171
1,1,1,0.9999,1,1,0.9926,1,1,1,0.9171
1,1,1,0.9999,1,1,0.9926,1,1,1,0.9171
1,1,1,1,1,1,0.9935,1,1,1,0.9448
1,1,1,1,1,1,0.9935,1,1,1,0.9448
1,1,1,1,1,1,0.9935,1,1,1,0.9448
1,1,1,1,1,1,0.9935,1,1,1,0.9448
1,1,1,1,1,1,0.9935,1,1,1,0.9448
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.046
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.046
