BER       RSSI          ToA       L
0.496002  -151.0103002  0.057754  2
0.492002  -141.0103002  0.057754  2
0.136002  -131.0103002  0.057754  1
0.000002  -121.0103002  0.057754  1
0.000002  -111.0103002  0.057754  1
0.538572  -151.0103002  0.057754  2
0.491432  -141.0103002  0.057754  2
0.102862  -131.0103002  0.057754  1
0.000002  -121.0103002  0.057754  1
0.000002  -111.0103002  0.057754  1
0.497782  -151.0103002  0.065946  2
0.501112  -141.0103002  0.065946  2
0.135562  -131.0103002  0.065946  1
0.000002  -121.0103002  0.065946  1
0.000002  -111.0103002  0.065946  1
0.513642  -151.0103002  0.074138  2
0.484552  -141.0103002  0.074138  2
0.105452  -131.0103002  0.074138  1
0.000002  -121.0103002  0.074138  1
0.000002  -111.0103002  0.074138  1
0.481822  -151.0103002  0.082739  2
0.490912  -141.0103002  0.082739  2
0.000002  -131.0103002  0.082739  1
0.000002  -121.0103002  0.082739  1
0.000002  -111.0103002  0.082739  1
0.530302  -151.0103002  0.099123  2
0.442422  -141.0103002  0.099123  2
0.000002  -131.0103002  0.099123  1
0.000002  -121.0103002  0.099123  1
0.000002  -111.0103002  0.099123  1
0.509092  -151.0103002  0.099123  2
0.423642  -141.0103002  0.099123  2
0.000002  -131.0103002  0.099123  1
0.000002  -121.0103002  0.099123  1
0.000002  -111.0103002  0.099123  1
0.503902  -151.0103002  0.115507  2
0.477922  -141.0103002  0.115507  2
0.016882  -131.0103002  0.115507  1
0.000002  -121.0103002  0.115507  1
0.000002  -111.0103002  0.115507  1
0.496972  -151.0103002  0.131891  2
0.474752  -141.0103002  0.131891  2
0.012122  -131.0103002  0.131891  1
0.000002  -121.0103002  0.131891  1
0.000002  -111.0103002  0.131891  1
0.511572  -151.0103002  0.131891  2
0.454552  -141.0103002  0.131891  2
0.020662  -131.0103002  0.131891  1
0.000002  -121.0103002  0.131891  1
0.000002  -111.0103002  0.131891  1
0.475002  -151.0103002  0.165478  2
0.291672  -141.0103002  0.165478  2
0.000002  -131.0103002  0.165478  1
0.000002  -121.0103002  0.165478  1
0.000002  -111.0103002  0.165478  1
0.452782  -151.0103002  0.198246  2
0.469442  -141.0103002  0.198246  2
0.000002  -131.0103002  0.198246  1
0.000002  -121.0103002  0.198246  1
0.000002  -111.0103002  0.198246  1
0.521672  -151.0103002  0.198246  2
0.393332  -141.0103002  0.198246  2
0.121672  -131.0103002  0.198246  1
0.000002  -121.0103002  0.198246  1
0.000002  -111.0103002  0.198246  1
0.503572  -151.0103002  0.231014  2
0.429762  -141.0103002  0.231014  2
0.000002  -131.0103002  0.231014  1
0.000002  -121.0103002  0.231014  1
0.000002  -111.0103002  0.231014  1
0.516672  -151.0103002  0.231014  2
0.339812  -141.0103002  0.231014  2
0.126852  -131.0103002  0.231014  1
0.000002  -121.0103002  0.231014  1
0.000002  -111.0103002  0.231014  1
0.483332  -151.0103002  0.263782  2
0.413642  -141.0103002  0.263782  2
0.014392  -131.0103002  0.263782  1
0.029552  -121.0103002  0.263782  1
0.000002  -111.0103002  0.263782  1
