BW      SF  PS   SNR  BER        RSSI          ToA
500000  7   110  -30  0.480522  -141.0103002  0.0113152
500000  7   110  -20  0.480522  -131.0103002  0.0113152
500000  7   110  -10  0.016882  -121.0103002  0.0113152
500000  7   110  0    0.000002  -111.0103002  0.0113152
500000  8   10   -40  0.487502  -151.0103002  0.0123902
500000  8   10   -30  0.512502  -141.0103002  0.0123902
500000  8   10   -20  0.512502  -131.0103002  0.0123902
500000  8   10   -10  0.000002  -121.0103002  0.0123902
500000  8   10   0    0.000002  -111.0103002  0.0123902
500000  8   30   -40  0.554172  -151.0103002  0.0144382
500000  8   30   -30  0.558332  -141.0103002  0.0144382
500000  8   30   -20  0.391672  -131.0103002  0.0144382
500000  8   30   -10  0.000002  -121.0103002  0.0144382
500000  8   30   0    0.000002  -111.0103002  0.0144382
500000  8   50   -40  0.532502  -151.0103002  0.0144382
500000  8   50   -30  0.460002  -141.0103002  0.0144382
500000  8   50   -20  0.457502  -131.0103002  0.0144382
500000  8   50   -10  0.000002  -121.0103002  0.0144382
500000  8   50   0    0.000002  -111.0103002  0.0144382
500000  8   70   -40  0.489292  -151.0103002  0.0164862
500000  8   70   -30  0.492862  -141.0103002  0.0164862
500000  8   70   -20  0.416072  -131.0103002  0.0164862
500000  8   70   -10  0.000002  -121.0103002  0.0164862
500000  8   70   0    0.000002  -111.0103002  0.0164862
500000  8   90   -40  0.509722  -151.0103002  0.0185342
500000  8   90   -30  0.516672  -141.0103002  0.0185342
500000  8   90   -20  0.437502  -131.0103002  0.0185342
500000  8   90   -10  0.000002  -121.0103002  0.0185342
500000  8   90   0    0.000002  -111.0103002  0.0185342
500000  8   110  -40  0.500002  -151.0103002  0.0205822
500000  8   110  -30  0.518182  -141.0103002  0.0205822
500000  8   110  -20  0.426142  -131.0103002  0.0205822
500000  8   110  -10  0.000002  -121.0103002  0.0205822
500000  8   110  0    0.000002  -111.0103002  0.0205822
500000  9   10   -40  0.577782  -151.0103002  0.0247812
500000  9   10   -30  0.522222  -141.0103002  0.0247812
500000  9   10   -20  0.311112  -131.0103002  0.0247812
500000  9   10   -10  0.000002  -121.0103002  0.0247812
500000  9   10   0    0.000002  -111.0103002  0.0247812
500000  9   30   -40  0.470372  -151.0103002  0.0247812
500000  9   30   -30  0.500002  -141.0103002  0.0247812
500000  9   30   -20  0.240742  -131.0103002  0.0247812
500000  9   30   -10  0.000002  -121.0103002  0.0247812
500000  9   30   0    0.000002  -111.0103002  0.0247812
500000  9   50   -40  0.477782  -151.0103002  0.0288772
500000  9   50   -30  0.484442  -141.0103002  0.0288772
500000  9   50   -20  0.331112  -131.0103002  0.0288772
500000  9   50   -10  0.000002  -121.0103002  0.0288772
500000  9   50   0    0.000002  -111.0103002  0.0288772
500000  9   70   -40  0.530162  -151.0103002  0.0329732
500000  9   70   -30  0.479372  -141.0103002  0.0329732
500000  9   70   -20  0.312702  -131.0103002  0.0329732
500000  9   70   -10  0.000002  -121.0103002  0.0329732
500000  9   70   0    0.000002  -111.0103002  0.0329732
500000  9   90   -40  0.493832  -151.0103002  0.0329732
500000  9   90   -30  0.477782  -141.0103002  0.0329732
500000  9   90   -20  0.311112  -131.0103002  0.0329732
500000  9   90   -10  0.000002  -121.0103002  0.0329732
500000  9   90   0    0.000002  -111.0103002  0.0329732
500000  9   110  -40  0.482832  -151.0103002  0.0370692
500000  9   110  -30  0.492932  -141.0103002  0.0370692
500000  9   110  -20  0.370712  -131.0103002  0.0370692
500000  9   110  -10  0.000002  -121.0103002  0.0370692
500000  9   110  0    0.000002  -111.0103002  0.0370692
500000  10  10   -40  0.510002  -151.0103002  0.0413702
500000  10  10   -30  0.500002  -141.0103002  0.0413702
500000  10  10   -20  0.120002  -131.0103002  0.0413702
500000  10  10   -10  0.000002  -121.0103002  0.0413702
500000  10  10   0    0.000002  -111.0103002  0.0413702
500000  10  30   -40  0.476672  -151.0103002  0.0495622
500000  10  30   -30  0.463332  -141.0103002  0.0495622
500000  10  30   -20  0.073332  -131.0103002  0.0495622
500000  10  30   -10  0.000002  -121.0103002  0.0495622
500000  10  30   0    0.000002  -111.0103002  0.0495622
500000  10  50   -40  0.496002  -151.0103002  0.0577542
500000  10  50   -30  0.492002  -141.0103002  0.0577542
500000  10  50   -20  0.136002  -131.0103002  0.0577542
500000  10  50   -10  0.000002  -121.0103002  0.0577542
500000  10  50   0    0.000002  -111.0103002  0.0577542
500000  10  70   -40  0.538572  -151.0103002  0.0577542
500000  10  70   -30  0.491432  -141.0103002  0.0577542
500000  10  70   -20  0.102862  -131.0103002  0.0577542
500000  10  70   -10  0.000002  -121.0103002  0.0577542
500000  10  70   0    0.000002  -111.0103002  0.0577542
500000  10  90   -40  0.497782  -151.0103002  0.0659462
500000  10  90   -30  0.501112  -141.0103002  0.0659462
500000  10  90   -20  0.135562  -131.0103002  0.0659462
500000  10  90   -10  0.000002  -121.0103002  0.0659462
500000  10  90   0    0.000002  -111.0103002  0.0659462
500000  10  110  -40  0.513642  -151.0103002  0.0741382
500000  10  110  -30  0.484552  -141.0103002  0.0741382
500000  10  110  -20  0.105452  -131.0103002  0.0741382
500000  10  110  -10  0.000002  -121.0103002  0.0741382
500000  10  110  0    0.000002  -111.0103002  0.0741382
500000  11  10   -40  0.481822  -151.0103002  0.0827392
500000  11  10   -30  0.490912  -141.0103002  0.0827392
500000  11  10   -20  0.000002  -131.0103002  0.0827392
500000  11  10   -10  0.000002  -121.0103002  0.0827392
500000  11  10   0    0.000002  -111.0103002  0.0827392
500000  11  30   -40  0.530302  -151.0103002  0.0991232
500000  11  30   -30  0.442422  -141.0103002  0.0991232
500000  11  30   -20  0.000002  -131.0103002  0.0991232
500000  11  30   -10  0.000002  -121.0103002  0.0991232
500000  11  30   0    0.000002  -111.0103002  0.0991232
500000  11  50   -40  0.509092  -151.0103002  0.0991232
500000  11  50   -30  0.423642  -141.0103002  0.0991232
500000  11  50   -20  0.000002  -131.0103002  0.0991232
500000  11  50   -10  0.000002  -121.0103002  0.0991232
500000  11  50   0    0.000002  -111.0103002  0.0991232
500000  11  70   -40  0.503902  -151.0103002  0.1155072
500000  11  70   -30  0.477922  -141.0103002  0.1155072
500000  11  70   -20  0.016882  -131.0103002  0.1155072
500000  11  70   -10  0.000002  -121.0103002  0.1155072
